ID,Comunidad Autónoma,Año,Todas las causas,Enfermedades infecciosas y parasitarias,Tumores,Enfermedades de la sangre,Enfermedades endocrinas,Trastornos mentales y del comportamiento,Enfermedades del sistema nervioso,Enfermedades del sistema circulatorio,Enfermedades del sistema respiratorio,Enfermedades del sistema digestivo,Enfermedades de la piel,Enfermedades del sistema osteomuscular,Enfermedades del sistema genitourinario,"Embarazo, parto y puerperio",Afecciones periodo perinatal,Anomalías congénitas y cromosómicas,Síntomas no clasificados,Causas externas,Población,Renta
5,Canarias,2011-01-01,0.6540501446480231,0.010414657666345226,0.1977338476374156,0.0031822565091610415,0.06788813886210222,0.024011571841851494,0.02926711668273867,0.16253616200578594,0.06277724204435872,0.029701060752169717,0.0017357762777242044,0.005303760848601736,0.018129218900675023,0.0,0.0015911282545805208,0.0024590163934426227,0.013404050144648023,0.02391513982642237,2074000,19574
6,Cantabria,2011-01-01,0.9485617597292724,0.026395939086294413,0.27834179357021993,0.003214890016920474,0.010490693739424704,0.04754653130287648,0.04399323181049069,0.2917089678510998,0.09543147208121827,0.04365482233502538,0.003553299492385787,0.006598984771573603,0.026903553299492386,0.0,0.0006768189509306261,0.0016920473773265653,0.02927241962774958,0.03908629441624366,591000,21338
7,Castilla y León,2011-01-01,1.0655253837072018,0.01668634395907123,0.30877607241243604,0.004643841007477371,0.03998425816607635,0.03486816214088941,0.049980322707595434,0.32617079889807166,0.12089728453364817,0.05454545454545455,0.0037386855568673754,0.012436048799685162,0.030735930735930738,3.935458480913026e-05,0.0018103109012199922,0.001338055883510429,0.01948051948051948,0.0393939393939394,2541000,21475
8,Castilla La Mancha,2011-01-01,0.8584403233475986,0.013456966238706609,0.23357108892058964,0.0028530670470756064,0.033951497860199714,0.03518782691393248,0.04103661436043747,0.25882073228720875,0.10551592962434618,0.04369947693770804,0.003281027104136947,0.008511650023775559,0.025059438896814078,0.0001426533523537803,0.0012363290537327628,0.0016642891107941035,0.016833095577746076,0.033618640038040895,2103000,18190
9,Cataluña,2011-01-01,0.8020788912579957,0.014538912579957356,0.22998400852878462,0.004251066098081024,0.029264392324093818,0.04276385927505331,0.05122601279317697,0.22397388059701492,0.08158315565031983,0.03885927505330491,0.0016391257995735607,0.0047174840085287845,0.02025586353944563,1.3326226012793176e-05,0.0015991471215351812,0.0019856076759061834,0.017217484008528787,0.03820628997867804,7504000,26507
10,Valencia,2011-01-01,0.8154338264694123,0.012634946021591363,0.2296281487405038,0.003958416633346661,0.027129148340663736,0.03254698120751699,0.04558176729308277,0.2637145141943223,0.08308676529388244,0.041343462614954016,0.0029988004798080768,0.006717313074770092,0.02554978008796481,1.9992003198720512e-05,0.001599360255897641,0.0018592562974810074,0.012215113954418233,0.024850059976009593,5002000,19933
11,Extremadura,2011-01-01,0.9595648232094288,0.013508612873980053,0.270716228467815,0.00371713508612874,0.032910244786944695,0.026019945602901176,0.04641885766092475,0.30371713508612874,0.11169537624660017,0.05022665457842248,0.002085222121486854,0.00970081595648232,0.026835902085222123,9.066183136899366e-05,0.002447869446962829,0.0021758839528558476,0.032094288304623755,0.025203989120580236,1103000,16074
12,Galicia,2011-01-01,1.0782749909779863,0.01465175027066041,0.3000360880548538,0.00245398773006135,0.018729700469144715,0.05694695055936485,0.05030674846625767,0.349548899314327,0.11761097076867556,0.05185853482497293,0.003536629375676651,0.007867195958137858,0.02930350054132082,0.0,0.0011187297004691447,0.0016600505232767953,0.033778419343197405,0.03886683507758932,2771000,20121
13,Madrid,2011-01-01,0.6493056639101263,0.012185988453736932,0.1925105320642846,0.002200031206116399,0.016086753003588704,0.013293805585894837,0.02981744421906694,0.1733499765954127,0.09215166172569823,0.030316742081447964,0.0019659853331252925,0.003947573724449992,0.019971914495241067,0.0,0.0014198782961460446,0.0017319394601341862,0.04244031830238727,0.015915119363395226,6409000,30966
14,Murcia,2011-01-01,0.6979466119096509,0.013141683778234088,0.1891854893908282,0.002327173169062286,0.019849418206707735,0.02128678986995209,0.036139630390143736,0.22026009582477757,0.0838466803559206,0.03648186173853525,0.003080082135523614,0.004996577686516085,0.02573579739904175,6.844626967830253e-05,0.0026009582477754963,0.0018480492813141684,0.007255304585900069,0.029842573579739903,1461000,18641
